UniProtIds	PLFrequency
Q7Z460	0.091
Q7Z4V5	0.091
Q86UP2	0.091
Q86V48	0.091
Q86WA6	0.091
Q86YQ8	0.091
Q8IWS0	0.091
Q8IZ69	0.091
Q8IZE3	0.091
Q8N163	0.091
Q8N3D4	0.091
Q8N8S7	0.091
Q8NBF2	0.091
Q8NCN4	0.091
Q8NEZ5	0.091
Q8NF91	0.091
Q8NFD5	0.091
Q8NFF5	0.091
Q8NHU6	0.091
Q8NI60	0.091
Q8TBX8	0.091
Q8TCS8	0.091
Q8TDD1	0.091
Q8TEX9	0.091
Q8WTT2	0.091
Q8WVC0	0.091
Q8WVY7	0.091
Q8WX92	0.091
Q8WXX5	0.091
Q8WYA6	0.091
Q8WZ42	0.091
Q92522	0.091
Q92544	0.091
Q92597	0.091
Q92626	0.091
Q92688	0.091
Q92804	0.091
Q92878	0.091
Q92879	0.091
Q92900	0.091
Q92917	0.091
Q92922	0.091
Q92925	0.091
Q92973	0.091
Q92990	0.091
Q93009	0.091
Q969F9	0.091
Q969H8	0.091
Q96AE4	0.091
Q96AY3	0.091
Q96B97	0.091
Q96C19	0.091
Q96C36	0.091
Q96C86	0.091
Q96C90	0.091
Q96CP2	0.091
Q96DV4	0.091
Q96DX5	0.091
Q96GG9	0.091
Q96GK7	0.091
Q96HE7	0.091
Q96JP5	0.091
Q96PZ0	0.091
Q96QK1	0.091
Q96S44	0.091
Q99460	0.091
Q99733	0.091
Q99832	0.091
Q99873	0.091
Q9BQ75	0.091
Q9BQC3	0.091
Q9BQE3	0.091
Q9BQG0	0.091
Q9BRA2	0.091
Q9BRT8	0.091
Q9BS26	0.091
Q9BSJ8	0.091
Q9BT78	0.091
Q9BTW9	0.091
Q9BVK6	0.091
Q9BWD1	0.091
Q9BXS5	0.091
Q9BXW9	0.091
Q9BY32	0.091
Q9BZF9	0.091
Q9C0B1	0.091
Q9C0C2	0.091
Q9GZL7	0.091
Q9GZR7	0.091
Q9H0H0	0.091
Q9H0U4	0.091
Q9H1I8	0.091
Q9H3U1	0.091
Q9H4A4	0.091
Q9H4A5	0.091
Q9H4G0	0.091
Q9H4M9	0.091
Q9H6S0	0.091
Q9H8Y8	0.091
Q9H9A6	0.091
Q9H9G7	0.091
Q9HBE1	0.091
Q9HBM1	0.091
Q9NPF4	0.091
Q9NR09	0.091
Q9NR31	0.091
Q9NR56	0.091
Q9NRX1	0.091
Q9NS69	0.091
Q9NT62	0.091
Q9NTI5	0.091
Q9NU22	0.091
Q9NUW8	0.091
Q9NVE7	0.091
Q9NVP1	0.091
Q9NX18	0.091
Q9NX58	0.091
Q9NYP3	0.091
Q9NYU2	0.091
Q9P253	0.091
Q9P2K8	0.091
Q9P2R3	0.091
Q9P2T1	0.091
Q9UBB4	0.091
Q9UBF2	0.091
Q9UBT2	0.091
Q9UBU9	0.091
Q9UGI8	0.091
Q9UGV2	0.091
Q9UHB9	0.091
Q9UHD1	0.091
Q9UHX1	0.091
Q9UI10	0.091
Q9UII2	0.091
Q9UK59	0.091
Q9UKT5	0.091
Q9UL46	0.091
Q9UM00	0.091
Q9UMX0	0.091
Q9UNF1	0.091
Q9UNI6	0.091
Q9UNX3	0.091
Q9UNX4	0.091
Q9UNZ2	0.091
Q9UPN3	0.091
Q9UQ80	0.091
Q9Y263	0.091
Q9Y265	0.091
Q9Y266	0.091
Q9Y296	0.091
Q9Y2T3	0.091
Q9Y2W1	0.091
Q9Y2Z0	0.091
Q9Y316	0.091
Q9Y3E0	0.091
Q9Y3F4	0.091
Q9Y3I1	0.091
Q9Y3U8	0.091
Q9Y448	0.091
Q9Y4B6	0.091
Q9Y4C1	0.091
Q9Y4P3	0.091
Q9Y5B0	0.091
Q9Y5K5	0.091
Q9Y5L0	0.091
Q9Y5S9	0.091
Q9Y617	0.091
Q9Y678	0.091
Q9Y696	0.091
Q9Y6A9	0.091
